URL,VISITED,N/A,PROOF,CONTESTED,REJECTED,NOTES ON WHY N/A,NOTES ON WHY PROOF,ADDITIONAL NOTES,"TRANSLATION OF ""NOTES ON WHY N/A"" (COL G)","TRANSLATION OF ""NOTES ON WHY PROOF"" (COL K)","TRANSLATION OF ""ADDITIONAL NOTES"" (COL I)"
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2020---381_nodate.html,YES,NO,YES,NO,,,"Or, les messages WhatsApp échangés par la plaignante et le prévenu les 12 et 13 janvier 2017 (P. 10/2 pp. 58 à 63) montrent au contraire que c’est W.________ qui a souhaité maintenir la soirée du 13 janvier 2017 car elle partait le lendemain pour [...] et que lorsqu’elle a informé le prévenu que les amis contactés ne pour­raient pas se joindre à eux, celui-ci lui a proposé de reporter leur soirée au 14 ou au 15 janvier 2017.",,,"However, the WhatsApp messages exchanged by the complainant and the defendant on January 12 and 13, 2017 (P. 10/2 pp. 58 to 63) show on the contrary that it was W.________ who wished to maintain the evening of January 13, 2017 because she was leaving the next day for [...] and when she informed the defendant that the friends contacted would not be able to join them, he suggested that they postpone their evening until January 14 or 15, 2017.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-17122-2023_2023-12-04.html,YES,NO,YES,NO,,,"Il en va de même pour les messages du recourant versés à la procédure. Aucun ne revêt un caractère injurieux ni même particulièrement méprisant. Si certains ont été effacés, la présomption d'innocence ne permet pas de retenir, abstraitement, qu'ils seraient à même de renverser ce constat.",,,"The same applies to the appellant's messages submitted to the procedure. None are of an insulting or even particularly contemptuous nature. If some have been erased, the presumption of innocence does not allow us to hold, abstractly, that they would be able to reverse this observation.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_TP_001_P-23939-2016_2017-06-12.html,YES,NO,YES,NO,,,"Selon un rapport de renseignements de la police du 12 janvier 2017, le téléphone SAMSUNG saisi sur Y______ contenait notamment des conversations WhatsApp avec le numéro de téléphone portable 5______, inscrit dans son répertoire sous ""Z______ Damour"", desquelles il ressort qu'Y______ a participé à certains des cambriolages reprochés et adressé des photographies des objets alors dérobés à ce contact.",,,"According to a police intelligence report dated January 12, 2017, the SAMSUNG phone seized from Y______ notably contained WhatsApp conversations with the mobile phone number 5______, registered in its directory under ""Z______ Damour"", from which it appears that Y______ participated to some of the alleged burglaries and sent photographs of the objects then stolen to this contact.",
https://entscheidsuche.ch/docs/JU_Gerichte/JU_TC_004_CPR-2021-62_2021-10-07.pdf,YES,YES,,,,WA mentioned but not used as evidence.,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-18659-2020_2022-09-26.html,YES,NO,YES,NO,,,"En l'état, aucun élément du dossier ne permet d'infirmer ces allégations, qui sont d'ailleurs corroborées par les messages WhatsApp échangés entre les parties, juste après les faits, ainsi que par les dires de la recourante elle-même, qui a déclaré se souvenir d'avoir été pénétrée vaginalement par l'intimé durant une ""très courte"" durée.",,,"As it stands, there is nothing in the file to refute these allegations, which are moreover corroborated by the WhatsApp messages exchanged between the parties, just after the facts, as well as by the statements of the Appellant herself, who said she remembered being vaginally penetrated by the respondent for a “very short” period of time.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_013_A-4153-2021_2022-11-01.html,YES,YES,,,,Chambre administrative,,,Administrative Chamber,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2016---341_nodate.html,YES,NO,YES,NO,,"Les premiers juges ont considéré que le prévenu avait agi comme auteur médiat puisqu'il s'était servi d'autres personnes pour tenter de commettre des actes de contrainte sexuelle sur la plaignante. Cette appréciation, qui n'est d'ailleurs pas contestée par l'appelant, ne prête pas le flanc à la critique. Contacted via WA messages",,,"The first judges considered that the defendant had acted as a media perpetrator since he had used other people to attempt to commit acts of sexual coercion on the complainant. This assessment, which is not contested by the appellant, does not open up to criticism. Contacted via WA messages",,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_299-----------_nodate.html,YES,YES,,,,"Bug: word Whatsapp doesn't appear, nor ""message"" or other applications.",,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-16154-2013_2014-03-20.html,YES,YES,,,,Appeal not about things related to WA messages,,,,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2022-8_2022-01-24.pdf,YES,NO,YES,NO,,,"Le Ministère public a sollicité le 26 août 2021 une seconde prolongation de la détention, exposant qu’une discussion datant de juillet 2014 avait été découverte dans le matériel informatique de .________ avec un garçon disant avoir alors 15 ans, des recherches étant en cours pour l’identifier et l’interroger.",Interesting for citations: police used WA to message a pedophile.,,"On August 26, 2021, the Public Prosecutor's Office requested a second extension of the detention, explaining that a discussion dating from July 2014 had been discovered in the computer equipment of .________ with a boy saying he was 15 years old at the time, research being underway to identify it and question it.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-5601-2023_2023-12-18.html,YES,YES,,,,WA mentioned but not an evidence.,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-13448-2022_2023-09-28.html,YES,YES,,,,"WA mentioned for ban of contacting: interdiction de contact, de quelque manière que ce soit (courrier, téléphone, sms, WhatsApp, Instagram, Snapchat, autres réseaux sociaux, personne interposée), directement ou par l'intermédiaire de tiers, avec les personnes mêlées à la présente procédure, en particulier D______ et C______, jusqu'à décision contraire du Ministère public;",,Useful for citations.,"WA mentioned for ban of contacting: prohibition of contact, in any way whatsoever (mail, telephone, SMS, WhatsApp, Instagram, Snapchat, other social networks, intermediary person), directly or through third parties, with people involved in this procedure, in particular D______ and C______, until otherwise decided by the Public Prosecutor's Office;",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-13389-2017_2024-01-09.html,YES,NO,YES,NO,,,"Selon un rapport de police du 11 juillet 2023, l’exploitation du contenu de téléphones portables de A______ permettait de recenser – hors messages dits éphémères via l’application Whatsapp – cent soixante-neuf clients, pour la plupart entre mars 2020 et janvier 2023, ayant généré un chiffre d’affaires de près de CHF 124'000.-, ainsi que la découverte de douze appartements supplémentaires. ![endif]>![if>",,,"According to a police report dated July 11, 2023, the exploitation of the content of A______'s mobile phones made it possible to identify – excluding so-called ephemeral messages via the Whatsapp application – one hundred and sixty-nine customers, mostly between March 2020 and January 2023, having generated a turnover of nearly CHF 124,000.-, as well as the discovery of twelve additional apartments. ![endif]>![if>",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-3130-2020_2022-04-21.html,YES,YES,,,,"WA mentioned for ban of contacting: interdiction de prendre contact, sous quelque forme que ce soit (visite, téléphone, sms, email, WhatsApp, etc.) avec son père, B______, et en a ordonné la prolongation jusqu'au 11 juillet 2022. ",,Useful for citations.,"WA mentioned for ban of contacting: ban on making contact, in any form whatsoever (visit, telephone, text, email, WhatsApp, etc.) with his father, B______, and ordered its extension until July 11, 2022 . ",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-3356-2022_2023-02-27.html,YES,NO,YES,NO,,,"La collaboration de l'appelant n'a pas été bonne, celui-ci ayant d'abord tenté de nier les faits, malgré les messages de consommateurs recueillis et leurs témoignages incriminants, puis essayé de les minimiser en prétendant n'avoir vendu que du CBD légal.",,,"The caller's cooperation was not good, he first tried to deny the facts, despite the messages collected from consumers and their incriminating testimonies, then tried to minimize them by claiming to have only sold Legal CBD.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-17522-2020_2023-07-25.html,YES,YES,,,,"Ask for refunding for tort moral: ""mise à nue par l'extraction et l'analyse de ses échanges WhatsApp avec son compagnon, elle avait encore été la cible de graves accusations répétées.""",,,"Ask for refunding for moral wrong: ""exposed by the extraction and analysis of her WhatsApp exchanges with her companion, she had once again been the target of repeated serious accusations.""",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-11884-2018_2023-02-07.html,YES,NO ,YES,NO,,,"Dans le contexte de conflit familial, il semblait que l'expertisée avait adhéré au discours de sa mère qui reprochait à A______, par messages en des termes très sexués, de les avoir abandonnés et de fréquenter sa nouvelle compagne à proximité de leur domicile.",,,"In the context of family conflict, it seemed that the expert had adhered to the words of her mother who reproached A______, through messages in very sexualized terms, for having abandoned them and seeing his new partner near their home.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-14939-2017_2018-05-03.html,YES,NO,YES,NO,,,"correspondant aux deux numéros successifs connus du plan. Le toxicomane I______ avait dans son téléphone deux messages provenant du second de ces raccordements, à savoir le 11 juillet 2017 (""Cest mon nuvo numero O______"") et le 17 juillet 2017 (""Tu vien aujourd'hui? tu veux que je garde pour toi""), démontrant sans équivoque que ""O______"" l'informait également du changement du numéro du plan et qu'il avait de l'héroïne à vendre six jours plus tard.",,,"corresponding to the two known successive numbers of the plan. The drug addict I______ had two messages in his phone from the second of these connections, namely July 11, 2017 (""It's my new number O______"") and July 17, 2017 (""Are you coming today? Do you want me to keep for you""), unequivocally demonstrating that ""O______"" also informed him of the change in the plan number and that he had heroin to sell six days later.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-20079-2021_2023-06-26.html,YES,YES,,,,WA mentioned but not used as evidence,,,WA mentioned but not used as evidence,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2021---167_nodate.html,YES,NO,YES,NO,,,"Elle avait tenté de le joindre par téléphone, mais il ne répondait pas, puis lui avait envoyé un message pour lui demander d'ouvrir le portail. Il lui avait répondu qu'elle devait retourner dans le logement afin de tout nettoyer et qu'après elle pourrait partir, ce qu'elle avait fait (P. 4, p. 4 in fine p. 5).",,,"She tried to contact him by phone, but he didn't answer, then sent him a message asking him to open the gate. He replied that she had to return to the accommodation to clean everything and that then she could leave, which she did (P. 4, p. 4 in fine p. 5).",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-15668-2017_2018-10-04.html,YES,YES,,,,"WA mentioned as contact between son and father, but not relevant for decision.",,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-11473-2015_2016-03-17.html,YES,YES,,,,"Pour retrouver l'individu, soit K______, il a d'abord soutenu qu'I______ devait le contacter par ""Whatsapp"" mais avait constaté, lorsqu'il était arrivé à Genève, que cette application ne fonctionnait pas faute de réseau.",,,"To find the individual, namely K______, he first maintained that I______ had to contact him by “Whatsapp” but noticed, when he arrived in Geneva, that this application did not work due to lack of network.",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-16588-2020_2022-07-23.html,YES,YES,,,,"Le 11 mars 2020 à 17h43 et 18h13, et le 12 mars 2020 à 15h38, 19h25, 20h36, 21h06 et 21h39, A______ et ""G______"" se sont mis en contact. A______ lui a notamment demandé un numéro joignable par le biais de Whatsapp, ce que ""G______"" n'est pas parvenu à faire, provoquant la colère de A______ qui lui a indiqué : ""c'est demain que le gars vient"" et ""ces gens n'aiment pas beaucoup d'appels"".",,,"On March 11, 2020 at 5:43 p.m. and 6:13 p.m., and on March 12, 2020 at 3:38 p.m., 7:25 p.m., 8:36 p.m., 9:06 p.m. and 9:39 p.m., A______ and “G______” made contact. A______ notably asked him for a number that could be reached via Whatsapp, which “G______” did not manage to do, provoking the anger of A______ who told him: “the guy is coming tomorrow” and “these People don't like a lot of calls.""",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-24857-2020_2021-09-02.html,YES,NO,YES,NO,,,"Il est notoire que, de nos jours, les informations sont échangées par le biais d’un appareil de type smartphone, et que de nombreuses applications diverses peuvent servir (notamment, in casu, l’application de messagerie Whatsapp qui a semble-t-il beaucoup sonné immédiatement après l’arrestation de l’appelant).",,,"It is common knowledge that, nowadays, information is exchanged through a smartphone type device, and that many different applications can be used (notably, in particular, the Whatsapp messaging application which has apparently it much sounded immediately after the appellant's arrest).",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-1958-2020_2023-01-12.html,YES,YES,,,,WA mentioned but not used as evidence.,,can be useful for citations of WA mentioned but not used as evidence.,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-12483-2020_2022-08-16.html,YES,YES,,,,WA mentioned but not used as evidence.,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-7371-2022_2022-09-14.html,YES,YES,,,,"Appeal against contre l'ordonnance de refus de mise en liberté rendue le 15 août 2022 par le Tribunal des mesures de contrainte, WA messages not used.",,,"Appeal against the order refusing release made on 15 August 2022 by the Restraints Tribunal, WA messages not used.",,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_003_C-10439-2020_2022-03-21.html,YES,YES,,,,Chambre des prud'hommes,,,Chamber of industrial tribunal,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-16192-2015_2017-02-10.html,YES,NO,YES,NO,,,"2.3. La faute de l'appelant est lourde. Pendant six mois, il a réceptionné de la cocaïne en vrac, l'a stockée, diluée et conditionnée puis l'a revendue au détail, notamment à ses propres clients, avec lesquels il était directement en contact. Il a agi de manière répétée et mis en place une logistique rodée, disposant d'un matériel de type industriel pour confectionner les cylindres de cocaïne, ce qui témoigne d'une intensité délictuelle importante.",,,"2.3. The appellant's fault is serious. For six months, he received cocaine in bulk, stored it, diluted and packaged it then resold it at retail, in particular to his own customers, with whom he was in direct contact. He acted repeatedly and put in place well-established logistics, using industrial-type equipment to make the cylinders of cocaine, which demonstrates a significant criminal intensity.",
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_139-----------_nodate.html,YES,NO,YES,NO,,,"Au demeurant, même si cela n’est pas déterminant, on relèvera tout de même de façon plus générale les messages WhatsApp inappropriés et ambigus que le prévenu a écrits à la jeune fille les jours précédant les faits litigieux : « Génial t’es un amour », « OK pour le matin mais je vais devoir te fouetter car tu auras moins de temps pour faire ce que j’avais prévu », « J’ai vraiment beaucoup de plaisir quand tu viens. Tu as pu le voir (réd. : suivi d’un Emoji d’un visage avec la langue tirée et un clin d’œil) », « Passe-moi des photos (ce soir si tu as un moment) de tes habits pour que je complète ma commande que je vais faire », « Ca ne serait pas mieux en visio et je fais des copies d’écran ? » (PV aud. 2, annexes). En outre, la victime a déclaré que le prévenu l’aurait plusieurs fois prise par les hanches lorsqu’elle était en train de travailler, en se collant à elle en passant, lui aurait fait des compliments en lui disant qu’elle était jolie et aurait effectué les mêmes gestes au niveau des hanches sur la personne de sa sœur (PV aud. 1, p. 2).",,,"Moreover, even if this is not decisive, we will still note in a more general way the inappropriate and ambiguous WhatsApp messages that the defendant wrote to the young girl the days preceding the facts in dispute: “Great, you're a sweetheart », “Okay for the morning but I'm going to have to whip you because you will have less time to do what I had planned”, “I really have a lot of fun when you come. You could see it (ed.: followed by an Emoji of a face with its tongue out and a wink)"", ""Send me some photos (this evening if you have a moment) of your clothes to that I complete my order which I am going to make"", ""Wouldn't it be better on video and I take screenshots? » (Audit Minutes 2, annexes). In addition, the victim stated that the defendant would have taken her by the hips several times when she was working, sticking to her as he passed, would have paid her compliments by telling her that she was pretty and would have performed the same gestures at the hips on his sister's person (PV aud. 1, p. 2).",
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_005_502-2020-118_2020-10-08.pdf,YES,YES,,,,WA mentioned but not used as evidence.,,,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_417-----------_nodate.html,YES,YES,,,,"Bug: word Whatsapp doesn't appear, nor ""message"" or other applications.",,,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2021---9_nodate.html,YES,NO,YES,NO,,,"La version de la plaignante est en outre corroborée par les messages WhatsApp échangés le soir des faits avec son amie, [...], qui a remis des captures d'écran de son téléphone portable au Ministère public lors de son audition comme témoin le 25 septembre 2018 (cf. PV aud. 2 et P. 11). Il en ressort que cette dernière, inquiète de ne pas voir l'intimée présente à la soirée d'anniversaire, lui avait demandé, à 21 h 30, si « ça allait ». Q.________ lui avait répondu, à 22 h 21, « Non pas du tout », puis lui avait écrit à 22 h 25 : « Je vis un cauchemar j'ai envie de disparaître ». Le surlendemain, soit le lundi 15 mai 2017, à 10 h 10, Q.________ a encore écrit à [...] ce qui suit (cf. P. 10) : « Ecoutes je sais que tu m'en veux beaucoup, que tu es déçues, mais je sais aussi que tu es mon amie et que tu me pardonnera… samedi jetais prête à 18h45 et [...] est arrivé, il a réussi part je ne sais quel moyen de copier les sms, que j'avais supprimés. Il était dans un état et ma bloqué la porte car il voulait des explications. Je ne pouvais pas partir c'était impossible! (sic) ».",,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2021---406_nodate.html,YES,YES,,,,WA mentioned but not used as evidence.,,,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2020---340_nodate.html,YES,YES,,,,WA messages deleted to control victim:  Il a encore détruit la carte SIM du téléphone portable de sa compagne et effacé les messages SMS et Whatsapp qu'il contenait.,,,WA messages deleted to control victim: He again destroyed the SIM card of his partner's cell phone and deleted the SMS and Whatsapp messages it contained.,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_011_P-13640-2020_2023-08-30.html,YES,NO,YES,NO,,,"À cet égard, la prévenue a produit de nombreuses preuves visant à démontrer le comportement délétère de la recourante, et l'impact de celui-ci sur sa santé. Among these evidences, WA messages.",,,"In this regard, the defendant produced numerous evidence aimed at demonstrating the harmful behavior of the Appellant, and the impact of this on her health. Among these evidences, WA messages.",
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_013_D-cision---2023---39_nodate.html,YES,NO,YES,NO,,,"Or, les messages envoyés par les prévenus à leur employeur, dans lesquels ceux-ci exprimaient leur mécontentement, n’ont pas été adressés à des tiers, de sorte que les infractions de diffamation et de calomnie n’entrent pas en considération. Au demeurant, dans le message envoyé le 6 mai 2022 par M. à l’administratrice de la recourante, l’intéressé rapporte à celle-ci des propos de tiers, de sorte qu’on ne saurait considérer qu’il les propage. Les courriels échangés entre D. et des entreprises tierces n’objectivent pas non plus le fait que les prévenus auraient tenus des propos attentatoires à l’honneur d’C. SA, respectivement de son administratrice.",,,"However, the messages sent by the defendants to their employer, in which they expressed their dissatisfaction, were not addressed to third parties, so that the offenses of defamation and slander do not come into consideration. Moreover, in the message sent on May 6, 2022 by M. to the Appellant's administrator, the interested party reports to the latter comments made by third parties, so that it cannot be considered that he is propagating them. The emails exchanged between D. and third-party companies also do not substantiate the fact that the defendants made remarks detrimental to the honor of C. SA, respectively its administrator.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-14994-2021_2023-10-19.html,YES,YES,,,,WA mentioned but not used as evidence.,,,WA mentioned but not used as evidence.,,
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_006_501-2017-222_2018-05-23.pdf,YES,NO,YES,NO,,,"De plus, à la lecture des conversations WhatsApp versées au dossier, il apparaît que, contrairement aux dires de l’appelant, qui soutient avoir reçu la vidéo d’un",,,"Furthermore, upon reading the WhatsApp conversations placed in the file, it appears that, contrary to the statements of the caller, who claims to have received the video from a",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_TP_001_P-15649-2017_2017-12-11.html,YES,NO,YES,NO,,,"In casu, il est également établi par les aveux du prévenu Y______, sur la base des données de vols, ainsi que par les messages échangés et les images de vidéosurveillance de l'hôtel E______ qu'il a pénétré à plusieurs reprises en Suisse en effectuant des allers-retours entre Genève et Madrid à compter de janvier 2016, alors qu'il savait faire l'objet d'une interdiction d'entrée en Suisse valable jusqu'en 2019.",,,"In casu, it is also established by the confessions of the accused Y______, on the basis of the flight data, as well as by the messages exchanged and the video surveillance images of the hotel E______ that he entered Switzerland on several occasions by carrying out back and forth between Geneva and Madrid from January 2016, even though he knew he was subject to a ban on entry into Switzerland valid until 2019.",
https://entscheidsuche.ch/docs/CH_BVGer/CH_BVGE_001_F-1516-2018_2020-02-18.pdf,YES,YES,,,,TAF,,,Federal adiministrative court,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2016---121_nodate.html,YES,NO,YES,NO,,,"Reste que les sentiments précités tels qu'explicités à la police doivent être relativisés à la lecture des courriels échangés entre le prévenu et sa victime lors des faits litigieux. Il est évident que le comportement du prévenu est hautement critiquable : il est insistant, lourd, vulgaire et joue, manifestement et de manière ambiguë, avec les sentiments amoureux pour arriver à ses fins. Néanmoins, à la lecture des courriers, on doit admettre que les deux jeunes gens ont développé une relation.",,,"It remains that the aforementioned feelings as explained to the police must be put into perspective when reading the emails exchanged between the defendant and his victim during the disputed events. It is obvious that the defendant's behavior is highly criticizable: he is insistent, heavy-handed, vulgar and plays, clearly and ambiguously, with romantic feelings to achieve his ends. However, reading the letters, we must admit that the two young people developed a relationship.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-8413-2020_2022-10-06.html,YES,YES,,,,"Enfin, le fait que I______ et l'appelant étaient initialement représentés par la même avocate, d'une part, et que leurs échanges Whatsapp ont disparu du téléphone de l'appelant, d'autre part, sont des indices de plus à charge.",,Interesting: deleted messages are an additional evidence,"Finally, the fact that I______ and the appellant were initially represented by the same lawyer, on the one hand, and that their Whatsapp exchanges disappeared from the appellant's phone, on the other hand, are further incriminating evidence.",,
https://entscheidsuche.ch/docs/TI_Gerichte/TI_CARP_001_17-2020-361_2021-05-20.html,YES,NO,YES,NO,,,"Agli atti, vi è inoltre un elemento oggettivo che permette – almeno per un determinato periodo – di avere indicazioni attendibili sull’effettiva portata dell’attività lavorativa svolta dall’imputato per A.: il traffico telefonico tra i due di messaggi e messaggi vocali WhatsApp dal 21.9.2018 al 21.2.2019 (AI 240), tramite i quali A. gli assegnava i lavori e i due ne discutevano i dettagli. Da questo, emerge un’attività lavorativa di 8 giornate sull’arco di poco più di due mesi (dal 21 settembre fino a fine novembre 2018, quando il rapporto lavorativo con A. si è incrinato a causa di un mobile costoso danneggiato durante un trasloco).",Interesting for citations.,,"In the documents, there is also an objective element that allows - at least for a certain period - to have reliable indications on the actual scope of the work activity carried out by the accused for A.: the telephone traffic between the two of WhatsApp messages and voice messages from 21.9.2018 to 21.2.2019 (AI 240), through which A. assigned him the jobs and the two discussed the details. From this, emerges a working activity of 8 days over a period of just over two months (from 21 September until the end of November 2018, when the working relationship with A. was damaged due to an expensive piece of furniture damaged during a move ).",
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2021---42_nodate.html,YES,YES,,,,Bug: case not available.,,,,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_003_C-26550-2019_2022-04-04.html,YES,YES,,,,Chambre des prud'hommes,,,Chamber of industrial tribunal,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-14819-2022_2023-08-18.html,YES,NO,YES,NO,,,Il n'est pas contesté que les cinq vidéos litigieuses retrouvées dans le téléphone de l'appelant sont des représentations de la violence. Ce dernier a admis les avoir envoyées à un agent de police via l'application WhatsApp et les avoir ensuite importées en Suisse.,,,It is undisputed that the five disputed videos found on the appellant's phone are depictions of violence. The latter admitted to having sent them to a police officer via the WhatsApp application and then importing them to Switzerland.,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CJ_009_P-11563-2017_2018-04-27.html,YES,NO,YES,NO,,,"Contrairement à l’argumentation développée par l’appelant, sa version n’est pas non plus temporellement compatible avec l’intervalle survenu entre la fin de l’envoi des messages à la réceptionniste du salon à 02h27 et l’appel à la CECAL à 03h00. De son récit ressort en effet un rapport sexuel qui a duré au moins 30 minutes au total : premiers baisers, première masturbation de cinq minutes, fellation de dix minutes, échange de regards et proposition d’argent, seconds baisers, déshabillement complet de l’intimée, seconde masturbation, rapport vaginal de dix minutes, rhabillement et départ de l’intimée. Celle-ci serait ainsi sortie de l’appartement au plus tôt vers 03h00, ce qui exclut qu’elle eût encore le temps de parcourir plusieurs centaines de mètres avant de rencontrer D______ et d’appeler la police avec le téléphone de ce dernier.",,,"Contrary to the argument developed by the caller, his version is also not temporally compatible with the interval occurring between the end of sending messages to the salon receptionist at 2:27 a.m. and the call to CECAL at 03:00. From his account emerges in fact a sexual encounter which lasted at least 30 minutes in total: first kisses, first masturbation of five minutes, fellatio of ten minutes, exchange of glances and offer of money, second kisses, complete undressing of the respondent, second masturbation, ten-minute vaginal intercourse, dressing and departure of the respondent. She would have left the apartment at the earliest around 3:00 a.m., which means that she would not have had time to travel several hundred meters before meeting D______ and calling the police using the latter's phone.",
https://entscheidsuche.ch/docs/FR_Gerichte/FR_TC_006_501-2021-199_2022-08-23.pdf,YES,YES,,,,"Summary of lower level, not contested in this case.",,,,,
https://entscheidsuche.ch/docs/JU_Gerichte/JU_TC_004_CPR-2022-63_2022-06-17.pdf,YES,YES,,,,WA mentioned but not used as evidence.,,,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_013_D-cision---2022---66_nodate.html,YES,YES,,,,"Bug: word Whatsapp doesn't appear, nor ""message"" or other applications.",,,,,
https://entscheidsuche.ch/docs/VS_Gerichte/VS_BZG_999_P1-22-20_2022-08-29.pdf,YES,NO,YES,NO,,,Il n’a pas non plus hésité à relancer S _________ qui tentait de devenir abstinente.,,,He also did not hesitate to encourage S _________ who was trying to become abstinent.,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2018---354_nodate.html,YES,NO,YES,NO,,,"Au demeurant, s’il est exact que l’ADN d'E.________ n’a pas été décelé sur les lieux de la tentative de brigandage, ni sur les objets retrouvés, l’absence de trace matérielle le concernant n’est pas de nature à faire naître un doute raisonnable quant à son implication dans le forfait, au vu des éléments susmentionnés, suffisamment nombreux et probants, qui l’incriminent par ailleurs.",,,"Moreover, if it is true that E.________'s DNA was not detected at the scene of the attempted robbery, nor on the objects found, the absence of any material trace concerning him is not likely to give rise to a reasonable doubt as to his involvement in the crime, in view of the aforementioned elements, sufficiently numerous and convincing, which also incriminate him.",
https://entscheidsuche.ch/docs/GE_Gerichte/GE_CAPJ_001_CAPJ-4-2017_2018-12-28.html,YES,YES,,,,Cour d’appel du Pouvoir judiciaire,,,Court of Appeal of the Judiciary,,
https://entscheidsuche.ch/docs/GE_Gerichte/GE_TP_001_P-18569-2015_2017-09-15.html,YES,YES,,,,WA mentioned but not used as evidence.,,,,,
https://entscheidsuche.ch/docs/VD_FindInfo/VD_TC_003_Jug---2017---309_nodate.html,YES,NO,YES,NO,,,"En l’occurrence, les diverses explications fournies par l’appelante lors des débats, qui prétend que le message reçu le 31 juillet 2015 (« All ego u hv give ur sister is 2290… now Crafish is 30 with mark (DD) … and egwusi is 20 with mark (M) … and Ogbono is 5 with mark (IK) ») aurait trait à diverses marchandises, soit des épices, qu’une amie aurait ramenées d’Afrique en vue de les revendre (cf. jgt, p. 5), ne convainquent pas. On ne voit en effet pas pour quelles raisons, si la situation se présentait ainsi, cette personne informerait l’appelante du détail de ses achats, utiliserait des codes formés d’initiales pour marquer les différents produits et renseignerait pour le surplus l’intéressée sur la manière dont elle souhaitait les répartir entre ses divers acquéreurs.",,,"In this case, the various explanations provided by the appellant during the debates, who claims that the message received on July 31, 2015 (“All ego u hv give ur sister is 2290… now Crafish is 30 with mark (DD) … and egwusi is 20 with mark (M) … and Ogbono is 5 with mark (IK)"") would relate to various goods, namely spices, that a friend would have brought back from Africa with a view to reselling them (cf. jgt, p 5), do not convince. We do not see why, if the situation presented itself like this, this person would inform the caller of the details of her purchases, would use codes made up of initials to mark the different products and would also inform the person concerned about the way in which it wished to distribute them among its various buyers.",
